tegund,argerd,aflgjafi,akstur,skipting,verd,aldur
HYUNDAI I30,2012-03-01,Dísel,96000,Sjálfskipting,1890000,7.336986301369863
HYUNDAI IX35 COMFORT,2014-05-01,Dísel,128000,Sjálfskipting,1890000,5.16986301369863
HYUNDAI ELANTRA,2016-09-01,Bensín,42000,Beinskipting,1890000,2.83013698630137
HYUNDAI I10,2018-10-01,Bensín,10000,Sjálfskipting,1890000,0.7479452054794521
HYUNDAI I30 CLASSIC WAGON,2017-04-01,Bensín,90000,Beinskipting,1890000,2.249315068493151
HYUNDAI I10 STYLE,2018-05-01,Bensín,17000,Beinskipting,1890000,1.167123287671233
HYUNDAI I30 CLASSIC,2016-04-01,Dísel,65000,Beinskipting,1890000,3.249315068493151
HYUNDAI I30 CLASSIC WAGON,2017-05-01,Bensín,97000,Beinskipting,1890000,2.1671232876712327
HYUNDAI I30 CLASSIC WAGON,2017-05-01,Bensín,97000,Beinskipting,1890000,2.1671232876712327
HYUNDAI I30 CLASSIC,2016-01-01,Bensín,46000,Beinskipting,1890000,3.4986301369863013
HYUNDAI SANTA FE,2007-11-01,Dísel,213000,Sjálfskipting,1890000,11.67123287671233
JEEP GRAND CHEROKEE LAREDO,2010-01-01,Bensín,189000,Sjálfskipting,1890000,9.501369863013698
KIA CEED,2015-05-01,Dísel,85000,Sjálfskipting,1890000,4.16986301369863
KIA CEED LX WAGON,2015-08-01,Dísel,65000,Beinskipting,1890000,3.9178082191780823
KIA SPORTAGE EX,2012-06-01,Dísel,192000,Sjálfskipting,1890000,7.0849315068493155
KIA RIO LX,2017-05-01,Dísel,78000,Beinskipting,1890000,2.1671232876712327
KIA SPORTAGE,2013-12-01,Dísel,156000,Beinskipting,1890000,5.583561643835616
KIA CEED,2016-05-01,Dísel,99000,Beinskipting,1890000,3.1671232876712327
KIA PICANTO EX,2017-07-01,Bensín,20000,Beinskipting,1890000,2
KIA RIO EX,2016-08-01,Dísel,62000,Beinskipting,1890000,2.915068493150685
KIA CEED WAGON,2016-03-01,Dísel,85000,Beinskipting,1890000,3.334246575342466
KIA CEED WAGON LX,2013-06-01,Dísel,93000,Beinskipting,1890000,6.0849315068493155
KIA CEED,2016-04-01,Dísel,79000,Beinskipting,1890000,3.249315068493151
KIA CEED,2016-05-01,Dísel,75000,Beinskipting,1890000,3.1671232876712327
KIA RIO,2015-06-01,Dísel,62000,Beinskipting,1890000,4.0849315068493155
KIA CEED EX,2014-07-01,Dísel,62000,Beinskipting,1890000,5.002739726027397
KIA RIO,2017-02-01,Bensín,65000,Sjálfskipting,1890000,2.410958904109589
KIA CEED EX WAGON,2013-06-01,Dísel,90000,Sjálfskipting,1890000,6.0849315068493155
KIA SPORTAGE,2013-12-01,Dísel,154000,Beinskipting,1890000,5.583561643835616
KIA SOUL,2015-07-01,Dísel,45000,Beinskipting,1890000,4.002739726027397
KIA CEED,2013-06-01,Dísel,92000,Beinskipting,1890000,6.0849315068493155
LAND ROVER DISCOVERY 3 SE,2006-01-01,Bensín,161000,Sjálfskipting,1890000,13.504109589041096
LAND ROVER DEFENDER,2005-06-01,Dísel,195000,Beinskipting,1890000,14.09041095890411
LAND ROVER DEFENDER 130,2002-05-01,Dísel,220000,Beinskipting,1890000,17.17808219178082
LAND ROVER RANGE ROVER SPORT HSE,2006-07-01,Bensín,219000,Sjálfskipting,1890000,13.008219178082191
LAND ROVER DISCOVERY 3 SE G4,2006-08-01,Dísel,259000,Sjálfskipting,1890000,12.923287671232877
LAND ROVER RANGE ROVER VOUGE,2002-10-01,Bensín,203000,Sjálfskipting,1890000,16.75890410958904
LINCOLN NAVIGATOR,2007-04-01,Bensín,200000,Sjálfskipting,1890000,12.257534246575343
MERCEDES-BENZ CITAN,2015-09-01,Dísel,32000,Beinskipting,1890000,3.8328767123287673
MERCEDES-BENZ C,2010-06-01,Dísel,159000,Sjálfskipting,1890000,9.087671232876712
MAZDA 3,2014-08-01,Bensín,101000,Sjálfskipting,1890000,4.917808219178082
MAZDA 6 VISION,2015-04-01,Dísel,209000,Sjálfskipting,1890000,4.252054794520548
MERCEDES-BENZ B 180 CDI,2012-03-01,Dísel,59000,Sjálfskipting,1890000,7.336986301369863
MERCEDES-BENZ CITAN,2014-01-01,Dísel,68000,Beinskipting,1890000,5.498630136986302
MERCEDES-BENZ C 200 KOMPRESSOR,2008-02-01,Bensín,92000,Sjálfskipting,1890000,11.419178082191781
MERCEDES-BENZ E 200 NGT,2009-12-01,Bensín/Metan,110000,Sjálfskipting,1890000,9.586301369863014
MERCEDES-BENZ SPRINTER 310 CDI,2012-02-01,Dísel,173000,Beinskipting,1890000,7.416438356164384
MITSUBISHI PAJERO INSTYLE,2007-08-01,Bensín,203000,Sjálfskipting,1890000,11.923287671232877
MITSUBISHI PAJERO INTENSE,2008-04-01,Dísel,206000,Sjálfskipting,1890000,11.254794520547945
MITSUBISHI PAJERO,2008-01-01,Dísel,221000,Sjálfskipting,1890000,11.504109589041096
MITSUBISHI L200,2008-03-01,Dísel,208000,Sjálfskipting,1890000,11.33972602739726
NISSAN JUKE ACENTA,2014-01-01,Dísel,56000,Beinskipting,1890000,5.498630136986302
NISSAN JUKE,2015-01-01,Bensín,56000,Sjálfskipting,1890000,4.498630136986302
NISSAN JUKE,2013-12-01,Dísel,62000,Beinskipting,1890000,5.583561643835616
NISSAN QASHQAI,2012-05-01,Bensín,73000,Sjálfskipting,1890000,7.16986301369863
NISSAN X-TRAIL DCI,2012-09-01,Dísel,103000,Sjálfskipting,1890000,6.832876712328767
NISSAN MICRA,2017-05-01,Bensín,25000,Beinskipting,1890000,2.1671232876712327
NISSAN MICRA,2017-04-01,Dísel,25000,Beinskipting,1890000,2.249315068493151
NISSAN NOTE,2017-05-01,Dísel,45000,Beinskipting,1890000,2.1671232876712327
NISSAN NOTE ACENTA,2016-02-01,Dísel,39000,Beinskipting,1890000,3.4136986301369863
NISSAN QASHQAI,2014-01-01,Dísel,132000,Beinskipting,1890000,5.498630136986302
NISSAN NOTE ACENTA,2016-02-01,Dísel,36000,Beinskipting,1890000,3.4136986301369863
NISSAN QASHQAI,2013-06-01,Bensín,147000,Sjálfskipting,1890000,6.0849315068493155
PEUGEOT PARTNER,2017-06-01,Dísel,61000,Sjálfskipting,1890000,2.0821917808219177
PEUGEOT 2008 ACTIVE,2016-12-01,Bensín,8000,Sjálfskipting,1890000,2.580821917808219
PEUGEOT 3008,2015-07-01,Dísel,79000,Sjálfskipting,1890000,4.002739726027397
PEUGEOT PARTNER,2017-03-01,Dísel,60000,Sjálfskipting,1890000,2.334246575342466
PEUGEOT 208 ACTIVE,2017-04-01,Bensín,41000,Sjálfskipting,1890000,2.249315068493151
PEUGEOT 208,2018-04-01,Bensín,34000,Sjálfskipting,1890000,1.2493150684931507
PEUGEOT 208,2017-04-01,Bensín,41000,Sjálfskipting,1890000,2.249315068493151
PEUGEOT 208 ALLURE,2016-05-01,Bensín,37000,Beinskipting,1890000,3.1671232876712327
RENAULT CLIO ZEN,2018-03-01,Bensín,9000,Beinskipting,1890000,1.3342465753424657
RENAULT CLIO EXPRESSION SPORT TOURER,2016-11-01,Dísel,42000,Sjálfskipting,1890000,2.663013698630137
RENAULT MEGANE,2015-10-01,Dísel,19000,Sjálfskipting,1890000,3.750684931506849
RENAULT CLIO ZEN SPORT TOURER,2017-05-01,Dísel,75000,Sjálfskipting,1890000,2.1671232876712327
RENAULT CAPTUR INTENS,2016-02-01,Dísel,69000,Sjálfskipting,1890000,3.4136986301369863
RENAULT KANGOO EXPRESS,2016-02-01,Dísel,76000,Beinskipting,1890000,3.4136986301369863
RENAULT CAPTUR DYNAMIC,2014-03-01,Dísel,68000,Sjálfskipting,1890000,5.336986301369863
RENAULT CLIO ZEN SPORT TOURER,2017-01-01,Dísel,74000,Sjálfskipting,1890000,2.495890410958904
RENAULT KANGOO,2015-12-01,Dísel,43000,Beinskipting,1890000,3.5835616438356164
RENAULT KANGOO EXPRESS,2015-12-01,Dísel,43000,Beinskipting,1890000,3.5835616438356164
RENAULT MASTER,2012-10-01,Dísel,106000,Beinskipting,1890000,6.750684931506849
RENAULT CLIO ZEN,2017-12-01,Dísel,16000,Sjálfskipting,1890000,1.5808219178082192
RENAULT CLIO,2016-04-01,Dísel,32000,Sjálfskipting,1890000,3.249315068493151
RENAULT MEGANE,2016-09-01,Dísel,91000,Sjálfskipting,1890000,2.83013698630137
RENAULT CLIO,2016-04-01,Dísel,33000,Sjálfskipting,1890000,3.249315068493151
RENAULT KANGOO,2016-05-01,Dísel,42000,Beinskipting,1890000,3.1671232876712327
RENAULT CAPTUR,2015-06-01,Dísel,45000,Beinskipting,1890000,4.0849315068493155
RENAULT MASTER,2012-10-01,Dísel,107000,Beinskipting,1890000,6.750684931506849
RENAULT CLIO,2016-05-01,Bensín,32000,Beinskipting,1890000,3.1671232876712327
RENAULT TRAFIC BUS,2014-06-01,Dísel,188000,Beinskipting,1890000,5.0849315068493155
RENAULT CLIO SW,2017-04-01,Bensín,47000,Beinskipting,1890000,2.249315068493151
SKODA SUPERB,2012-10-01,Dísel,151000,Beinskipting,1890000,6.750684931506849
SKODA SUPERB,2013-05-01,Dísel,168000,Sjálfskipting,1890000,6.16986301369863
SKODA OCTAVIA AMBIENTE COMBI,2014-06-01,Dísel,102000,Sjálfskipting,1890000,5.0849315068493155
SKODA OCTAVIA AMBI STW,2013-10-01,Dísel,101000,Sjálfskipting,1890000,5.750684931506849
SKODA OCTAVIA,2013-03-01,Dísel,129000,Sjálfskipting,1890000,6.336986301369863
SKODA OCTAVIA COMBI,2013-03-01,Dísel,128000,Sjálfskipting,1890000,6.336986301369863
SKODA OCTAVIA COMBI,2015-06-01,Bensín/Metan,103000,Beinskipting,1890000,4.0849315068493155
SKODA OCTAVIA AMBITION,2014-05-01,Dísel,82000,Beinskipting,1890000,5.16986301369863
SKODA OCTAVIA AMBIENTE COMBI 2.0 140 HÖ,2013-04-01,Dísel,111000,Sjálfskipting,1890000,6.252054794520548
SKODA OCTAVIA,2013-10-01,Dísel,95000,Sjálfskipting,1890000,5.750684931506849
SKODA OCTAVIA,2012-09-01,Dísel,133000,Sjálfskipting,1890000,6.832876712328767
SKODA SUPERB,2011-07-01,Dísel,168000,Beinskipting,1890000,8.005479452054795
SKODA RAPID LIMO,2015-06-01,Dísel,84000,Sjálfskipting,1890000,4.0849315068493155
SKODA OCTAVIA COMBI AMBIENTE TDI,2013-04-01,Dísel,108000,Beinskipting,1890000,6.252054794520548
SUBARU LEGACY,2009-06-01,Bensín,66000,Sjálfskipting,1890000,10.087671232876712
SUZUKI GRAND VITARA,2015-02-01,Bensín,68000,Beinskipting,1890000,4.413698630136986
SUZUKI SX4,2016-03-01,Bensín,102000,Sjálfskipting,1890000,3.334246575342466
SUZUKI BALENO,2017-05-01,Bensín,47000,Beinskipting,1890000,2.1671232876712327
SUZUKI SWIFT 4X4,2017-06-01,Bensín,73000,Beinskipting,1890000,2.0821917808219177
SUZUKI VITARA,2016-05-01,Bensín,156000,Beinskipting,1890000,3.1671232876712327
SUZUKI GRAND VITARA,2014-06-01,Bensín,109000,Beinskipting,1890000,5.0849315068493155
SUZUKI VITARA,2016-06-01,Bensín,147000,Beinskipting,1890000,3.0821917808219177
SUZUKI GRAND VITARA,2013-04-01,Bensín,133000,Sjálfskipting,1890000,6.252054794520548
TOYOTA LAND CRUISER 120 GX BEINSK,2006-05-01,Dísel,256000,Beinskipting,1890000,13.175342465753424
TOYOTA AURIS H/B ACTIVE HYBRID,2013-08-01,Bensín/Rafmagn,76000,Sjálfskipting,1890000,5.917808219178082
TOYOTA RAV4,2011-06-01,Bensín,68000,Sjálfskipting,1890000,8.087671232876712
TOYOTA LAND CRUISER 120 VX,2006-02-01,Bensín,268000,Sjálfskipting,1890000,13.419178082191781
TOYOTA AYGO X-PLAY,2018-05-01,Bensín,30000,Sjálfskipting,1890000,1.167123287671233
TOYOTA LAND CRUISER 120 GX,2005-02-01,Dísel,241000,Sjálfskipting,1890000,14.419178082191781
TOYOTA AURIS T/S LIVE,2016-05-01,Bensín,133000,Sjálfskipting,1890000,3.1671232876712327
TOYOTA HILUX DOUBLE CAB TDI,2008-10-01,Dísel,260000,Beinskipting,1890000,10.753424657534246
TOYOTA COROLLA ACTIVE,2013-11-01,Dísel,74000,Beinskipting,1890000,5.6657534246575345
TOYOTA YARIS HYBRID,2016-06-01,Bensín/Rafmagn,63000,Sjálfskipting,1890000,3.0821917808219177
TOYOTA AURIS W/G LIVE,2016-05-01,Bensín,133000,Sjálfskipting,1890000,3.1671232876712327
TOYOTA AYGO X-PLAY,2018-05-01,Bensín,30000,Beinskipting,1890000,1.167123287671233
TOYOTA AYGO,2018-05-01,Bensín,33000,Sjálfskipting,1890000,1.167123287671233
TOYOTA AYGO X-PLAY,2018-05-01,Bensín,30000,Beinskipting,1890000,1.167123287671233
TOYOTA AURIS ACTIVE WAGON,2014-06-01,Bensín,86000,Sjálfskipting,1890000,5.0849315068493155
TOYOTA YARIS H/B LIVE,2017-04-01,Dísel,37000,Beinskipting,1890000,2.249315068493151
TOYOTA AYGO X-POSE,2018-04-01,Bensín,9000,Beinskipting,1890000,1.2493150684931507
TOYOTA AURIS LIVE,2015-05-01,Bensín,52000,Beinskipting,1890000,4.16986301369863
TOYOTA COROLLA LIVE,2015-06-01,Bensín,51000,Beinskipting,1890000,4.0849315068493155
TOYOTA AURIS ACTIVE,2016-04-01,Bensín,79000,Sjálfskipting,1890000,3.249315068493151
TOYOTA YARIS LIVE,2017-04-01,Dísel,37000,Beinskipting,1890000,2.249315068493151
TOYOTA HILUX DOUBLE CAB,2007-08-01,Dísel,281000,Sjálfskipting,1890000,11.923287671232877
TOYOTA AURIS,2013-07-01,Dísel,90000,Beinskipting,1890000,6.002739726027397
TOYOTA YARIS,2018-04-01,Bensín,33000,Beinskipting,1890000,1.2493150684931507
TOYOTA AURIS ACTIVE CVT,2014-06-01,Bensín,67000,Sjálfskipting,1890000,5.0849315068493155
TOYOTA COROLLA,2017-05-01,Bensín,45000,Beinskipting,1890000,2.1671232876712327
TOYOTA COROLLA,2014-05-01,Bensín,59000,Beinskipting,1890000,5.16986301369863
TOYOTA AYGO X-PLAY,2018-05-01,Bensín,33000,Sjálfskipting,1890000,1.167123287671233
TOYOTA AVENSIS W/G ACTIVE,2013-05-01,Dísel,127000,Beinskipting,1890000,6.16986301369863
TOYOTA AURIS ACTIVE,2013-07-01,Dísel,90000,Beinskipting,1890000,6.002739726027397
TOYOTA COROLLA,2014-05-01,Bensín,59000,Beinskipting,1890000,5.16986301369863
TOYOTA AVENSIS ACTIVE W/G,2012-04-01,Bensín,133000,Sjálfskipting,1890000,7.252054794520548
TOYOTA AURIS,2015-05-01,Bensín,87000,Beinskipting,1890000,4.16986301369863
TOYOTA LAND CRUISER 120 VX,2005-05-01,Dísel,280000,Sjálfskipting,1890000,14.175342465753424
VW GOLF TRENDLINE TDI,2016-06-01,Dísel,70000,Beinskipting,1890000,3.0821917808219177
VW CADDY MAXI LIFE TRENDLINE TDI,2013-06-01,Dísel,181000,Beinskipting,1890000,6.0849315068493155
VW GOLF VARIANT,2016-02-01,Bensín,62000,Beinskipting,1890000,3.4136986301369863
VW CADDY TDI,2015-06-01,Dísel,87000,Beinskipting,1890000,4.0849315068493155
VW GOLF,2017-06-01,Bensín,80000,Beinskipting,1890000,2.0821917808219177
VOLVO XC90,2005-03-01,Dísel,236000,Sjálfskipting,1890000,14.342465753424657
VOLVO XC70,2008-05-01,Dísel,274000,Sjálfskipting,1890000,11.172602739726027
VOLVO V40,2013-05-01,Dísel,153000,Beinskipting,1890000,6.16986301369863
VOLVO V40,2012-11-01,Dísel,85000,Beinskipting,1890000,6.6657534246575345
VOLVO S40 ECO,2010-06-01,Dísel,96000,Beinskipting,1890000,9.087671232876712
VW POLO TREND & STYLE,2016-07-01,Bensín,27000,Beinskipting,1890000,3
VW PASSAT COMFORT,2012-05-01,Bensín/Metan,91000,Sjálfskipting,1890000,7.16986301369863
VW GOLF,2016-03-01,Bensín,38000,Beinskipting,1890000,3.334246575342466
VW GOLF TRENDLINE,2015-11-01,Dísel,75000,Beinskipting,1890000,3.665753424657534
VW GOLF BLUEMOTION,2015-05-01,Bensín,115000,Sjálfskipting,1890000,4.16986301369863
VW GOLF,2015-10-01,Bensín,54000,Sjálfskipting,1890000,3.750684931506849
VW GOLF,2015-02-01,Bensín,94000,Sjálfskipting,1890000,4.413698630136986
VW PASSAT HIGHLINE PANORAMA,2012-07-01,Bensín/Metan,81000,Sjálfskipting,1890000,7.002739726027397
VW GOLF,2016-05-01,Dísel,88000,Beinskipting,1890000,3.1671232876712327
VW GOLF VARIANT COMFORTLINE,2016-05-01,Bensín,76000,Sjálfskipting,1890000,3.1671232876712327
VW GOLF COMFORT,2016-04-01,Bensín,107000,Beinskipting,1890000,3.249315068493151
VW GOLF,2017-04-01,Bensín,106000,Beinskipting,1890000,2.249315068493151
VW GOLF COMFORT,2015-03-01,Dísel,108000,Sjálfskipting,1890000,4.336986301369863
VW TRANSPORTER TDI 4MOTION,2011-06-01,Dísel,150000,Beinskipting,1890000,8.087671232876712
VW PASSAT ECO/HIGHLINE METAN/,2011-12-01,Bensín/Metan,154000,Sjálfskipting,1890000,7.586301369863014
VW POLO,2017-05-01,Bensín,55000,Beinskipting,1890000,2.1671232876712327
VW GOLF TSI,2015-06-01,Bensín,66000,Beinskipting,1890000,4.0849315068493155
VW POLO TRENDLINE,2016-07-01,Bensín,27000,Beinskipting,1890000,3
VW TOUAREG,2007-04-01,Bensín,140000,Sjálfskipting,1890000,12.257534246575343
VW TRANSPORTER,2014-05-01,Dísel,159000,Beinskipting,1890000,5.16986301369863
VW GOLF VARIANT,2015-05-01,Bensín,50000,Beinskipting,1890000,4.16986301369863
VW TRANSPORTER,2011-06-01,Dísel,150000,Beinskipting,1890000,8.087671232876712
VW CADDY,2015-06-01,Dísel,88000,Beinskipting,1890000,4.0849315068493155
VW TOURAN,2013-01-01,Dísel,124000,Beinskipting,1890000,6.498630136986302
VW GOLF,2012-06-01,Dísel,67000,Beinskipting,1890000,7.0849315068493155
CADILLAC ESCALADE 4 DR,2004-01-01,Bensín,172000,Sjálfskipting,1900000,15.506849315068493
CHEVROLET CRUZE,2015-01-01,Bensín,39000,Sjálfskipting,1900000,4.498630136986302
CHEVROLET CRUZE,2015-05-01,Dísel,24000,Beinskipting,1900000,4.16986301369863
CITROEN JUMPER HJÓLASTÓLAAÐGENGI,2006-05-01,Dísel,72000,Sjálfskipting,1900000,13.175342465753424
FORD F350 CREW KING RANCH,2005-05-01,Dísel,183000,Sjálfskipting,1900000,14.175342465753424
FORD FIESTA,2017-11-01,Bensín,26000,Beinskipting,1900000,1.663013698630137
KIA PICANTO EX,2017-05-01,Bensín,17000,Sjálfskipting,1900000,2.1671232876712327
LAND ROVER RANGE ROVER,2004-01-01,Bensín,223000,Sjálfskipting,1900000,15.506849315068493
MERCEDES-BENZ E 50 AMG,1996-08-01,Bensín,102000,Sjálfskipting,1900000,22.92876712328767
NISSAN LEAF ACENTA,2014-11-01,Rafmagn,53000,Sjálfskipting,1900000,4.6657534246575345
NISSAN QASHQAI SE,2012-09-01,Dísel,98000,Sjálfskipting,1900000,6.832876712328767
TOYOTA YARIS ACTIVE,2015-05-01,Bensín,29000,Sjálfskipting,1900000,4.16986301369863
VW TOUAREG,2007-03-01,Dísel,229000,Sjálfskipting,1900000,12.342465753424657
VW TOUAREG,2007-03-01,Dísel,228000,Sjálfskipting,1900000,12.342465753424657
FORD FOCUS,2016-04-01,Bensín,57000,Sjálfskipting,1940000,3.249315068493151
FORD MONDEO TITANIUM ECO BOOST,2014-05-01,Bensín,64000,Beinskipting,1940000,5.16986301369863
HYUNDAI I30 CLASSIC 1.4,2017-06-01,Bensín,80000,Beinskipting,1940000,2.0821917808219177
NISSAN LEAF S 24KW,2015-04-01,Rafmagn,35000,Sjálfskipting,1940000,4.252054794520548
RENAULT MEGANE,2016-05-01,Bensín,73000,Beinskipting,1940000,3.1671232876712327
VW PASSAT ALLTRACK TDI,2012-12-01,Dísel,150200,Sjálfskipting,1940000,6.583561643835616
VW GOLF SPORTSVAN,2015-05-01,Dísel,85000,Sjálfskipting,1940000,4.16986301369863
CADILLAC CTS HI FEATURE,2006-11-01,Bensín,105000,Sjálfskipting,1950000,12.67123287671233
CHEVROLET CRUZE,2015-03-01,Bensín,46000,Sjálfskipting,1950000,4.336986301369863
CHEVROLET CRUZE LTZ HÁLFT LEÐUR,2015-10-01,Bensín,65000,Sjálfskipting,1950000,3.750684931506849
CITROEN JUMPER,2013-04-01,Dísel,140000,Beinskipting,1950000,6.252054794520548
DACIA DUSTER,2016-01-01,Dísel,99000,Beinskipting,1950000,3.4986301369863013
FORD F150 LARIAT SUPERCREW,2007-05-01,Bensín,153000,Sjálfskipting,1950000,12.175342465753424
FORD FOCUS,2016-05-01,Bensín,71000,Beinskipting,1950000,3.1671232876712327
FORD FOCUS TREND,2015-03-01,Dísel,90000,Beinskipting,1950000,4.336986301369863
FORD KUGA TITANIUM S,2012-06-01,Dísel,178000,Sjálfskipting,1950000,7.0849315068493155
HYUNDAI I20 CLASSIC,2017-10-01,Bensín,9000,Beinskipting,1950000,1.747945205479452
HYUNDAI I30,2015-05-01,Dísel,97000,Beinskipting,1950000,4.16986301369863
KIA RIO LX,2017-05-01,Dísel,62000,Beinskipting,1950000,2.1671232876712327
KIA RIO LX,2017-05-01,Dísel,62000,Beinskipting,1950000,2.1671232876712327
KIA RIO LX,2017-05-01,Dísel,62000,Beinskipting,1950000,2.1671232876712327
KIA RIO LX,2017-05-01,Dísel,62000,Beinskipting,1950000,2.1671232876712327
KIA RIO LX,2017-05-01,Dísel,62000,Beinskipting,1950000,2.1671232876712327
"KIA CEED 1,6",2017-05-01,Dísel,88000,Sjálfskipting,1950000,2.1671232876712327
KIA SOUL,2015-03-01,Dísel,78000,Sjálfskipting,1950000,4.336986301369863
KIA OPTIMA,2012-08-01,Dísel,105000,Sjálfskipting,1950000,6.917808219178082
KIA RIO LAST EDITION,2016-12-01,Dísel,42000,Beinskipting,1950000,2.580821917808219
KIA CEED,2015-09-01,Dísel,70000,Beinskipting,1950000,3.8328767123287673
KIA CEED,2016-05-01,Bensín,53000,Beinskipting,1950000,3.1671232876712327
LEXUS IS 250,2007-04-01,Bensín,80000,Sjálfskipting,1950000,12.257534246575343
MAZDA 3 VISION,2014-11-01,Bensín,82000,Beinskipting,1950000,4.6657534246575345
MITSUBISHI PAJERO,2007-10-01,Dísel,198000,Sjálfskipting,1950000,11.756164383561643
NISSAN QASHQAI,2014-03-01,Bensín,72000,Beinskipting,1950000,5.336986301369863
NISSAN LEAF ACCENTA-BL BÍLL,2015-03-01,Rafmagn,62000,Sjálfskipting,1950000,4.336986301369863
NISSAN LEAF S,2015-01-01,Rafmagn,25000,Sjálfskipting,1950000,4.498630136986302
PEUGEOT 5008,2015-05-01,Dísel,105000,Sjálfskipting,1950000,4.16986301369863
PEUGEOT 5008,2014-11-01,Dísel,73000,Beinskipting,1950000,4.6657534246575345
RENAULT MASTER,2011-02-01,Dísel,243000,Beinskipting,1950000,8.416438356164383
RENAULT CLIO EXPRESS,2018-03-01,Bensín,7000,Beinskipting,1950000,1.3342465753424657
RENAULT CLIO,2016-06-01,Dísel,49000,Beinskipting,1950000,3.0821917808219177
SKODA OCTAVIA COMBI AMBITION TDI,2014-06-01,Dísel,61000,Beinskipting,1950000,5.0849315068493155
SKODA OCTAVIA COMBI TDI MT,2016-05-01,Dísel,113000,Beinskipting,1950000,3.1671232876712327
SKODA OCTAVIA COMBI,2016-04-01,Dísel,108000,Beinskipting,1950000,3.249315068493151
SKODA OCTAVIA STATION TDI,2016-05-01,Dísel,121000,Beinskipting,1950000,3.1671232876712327
SKODA OCTAVIA AMBIENTE,2014-12-01,Dísel,66000,Beinskipting,1950000,4.583561643835616
SKODA SUPERB,2013-06-01,Dísel,133000,Sjálfskipting,1950000,6.0849315068493155
SKODA OCTAVIA COMBI AMBIENTE,2014-05-01,Dísel,71000,Beinskipting,1950000,5.16986301369863
SKODA OCTAVIA COMBI AMBITION,2013-12-01,Dísel,131000,Beinskipting,1950000,5.583561643835616
SKODA SUPERB COMBI AMBIENTE 2.0 TDI,2013-06-01,Dísel,132000,Sjálfskipting,1950000,6.0849315068493155
SKODA OCTAVIA AMBIENTE COMBI,2014-05-01,Dísel,97000,Sjálfskipting,1950000,5.16986301369863
SKODA OCTAVIA,2013-12-01,Dísel,131000,Beinskipting,1950000,5.583561643835616
SKODA OCTAVIA COMBI,2013-04-01,Dísel,108000,Beinskipting,1950000,6.252054794520548
SKODA OCTAVIA,2013-12-01,Dísel,131000,Beinskipting,1950000,5.583561643835616
SKODA OCTAVIA,2013-12-01,Dísel,131000,Beinskipting,1950000,5.583561643835616
SKODA OCTAVIA STW,2013-12-01,Dísel,131000,Beinskipting,1950000,5.583561643835616
SKODA SUPERB,2013-07-01,Dísel,191000,Sjálfskipting,1950000,6.002739726027397
SKODA OCTAVIA COMBI,2013-03-01,Dísel,121000,Beinskipting,1950000,6.336986301369863
SKODA OCTAVIA COMBI,2013-04-01,Dísel,108000,Beinskipting,1950000,6.252054794520548
SUBARU LEGACY,2010-04-01,Dísel,114000,Beinskipting,1950000,9.254794520547945
TOYOTA HIACE TURBO,2008-02-01,Dísel,189000,Beinskipting,1950000,11.419178082191781
TOYOTA AURIS LIVE,2016-05-01,Bensín,60000,Sjálfskipting,1950000,3.1671232876712327
TOYOTA YARIS ACTIVE PLUS,2015-05-01,Bensín,19000,Sjálfskipting,1950000,4.16986301369863
TOYOTA YARIS ACTIVE,2017-03-01,Bensín,76000,Sjálfskipting,1950000,2.334246575342466
TOYOTA COROLLA LIVE,2016-07-01,Dísel,64000,Beinskipting,1950000,3
TOYOTA COROLLA LIVE,2017-03-01,Dísel,77000,Beinskipting,1950000,2.334246575342466
TOYOTA COROLLA LIVE,2017-03-01,Dísel,77000,Beinskipting,1950000,2.334246575342466
TOYOTA AURIS HYBRID,2014-10-01,Bensín/Rafmagn,107000,Sjálfskipting,1950000,4.750684931506849
TOYOTA COROLLA LIVE,2016-04-01,Dísel,81000,Beinskipting,1950000,3.249315068493151
TOYOTA YARIS HYBRID,2014-07-01,Bensín/Rafmagn,61000,Sjálfskipting,1950000,5.002739726027397
TOYOTA AURIS ACTIVE 1.4,2014-09-01,Dísel,57000,Beinskipting,1950000,4.832876712328767
TOYOTA HILUX DOUBLE CAB,2007-05-01,Dísel,356000,Beinskipting,1950000,12.175342465753424
TOYOTA LAND CRUISER 120 GX,2006-06-01,Dísel,319000,Sjálfskipting,1950000,13.09041095890411
TOYOTA CELICA FAST AND THE FURIOUS,1990-05-01,Bensín,79000,Beinskipting,1950000,29.186301369863013
TOYOTA YARIS HYBRID,2014-02-01,Bensín/Rafmagn,79000,Sjálfskipting,1950000,5.413698630136986
VOLVO S60 D3,2011-11-01,Dísel,187000,Sjálfskipting,1950000,7.668493150684932
VOLVO S40,2011-10-01,Dísel,110000,Beinskipting,1950000,7.7534246575342465
VW BEETLE,2013-06-01,Bensín,70000,Beinskipting,1950000,6.0849315068493155
VW TOUAREG,2008-09-01,Dísel,185000,Sjálfskipting,1950000,10.835616438356164
VW GOLF TRENDLINE,2015-12-01,Dísel,59000,Beinskipting,1950000,3.5835616438356164
VW TRANSPORTER 2.0TDI,2014-02-01,Dísel,121000,Beinskipting,1950000,5.413698630136986
VW TRANSPORTER,2012-10-01,Dísel,84000,Beinskipting,1950000,6.750684931506849
VW PASSAT,2013-02-01,Bensín/Metan,95000,Sjálfskipting,1950000,6.413698630136986
